Algorithms,meanWinnerRank,rateTrueWinners,rateWinner<NULL,val_Mean²Err
"MyVoteSys <α=0.66, β=____, γ=____, MinVariance>",2.0,0.0,0.0,
crowd-Median,2.0,0.0,0.0,24921.30859375
"MyVoteSys <α=0.66, β=____, γ=0.80, Last>",2.0,0.0,0.0,
"MyVoteSys <α=0.66, β=0.33, γ=0.80, MaxEntropy>",2.0,0.0,0.0,
"MyVoteSys <α=0.50, β=0.33, γ=0.66, MinVariance>",2.0,0.0,0.0,
"MyVoteSys <α=0.66, β=____, γ=0.80, First>",2.0,0.0,0.0,
"MyVoteSys <α=0.50, β=____, γ=0.80, MaxEntropy>",2.0,0.0,0.0,
"MyVoteSys <α=0.66, β=____, γ=____, MinEntropy>",2.0,0.0,0.0,
"MyVoteSys <α=0.66, β=____, γ=____, MaxVariance>",2.0,0.0,0.0,
"MyVoteSys <α=0.66, β=____, γ=0.80, MaxEntropy>",2.0,0.0,0.0,
"MyVoteSys <α=0.80, β=____, γ=____, MaxVariance>",2.0,0.0,0.0,
"MyVoteSys <α=0.50, β=____, γ=0.80, Last>",2.0,0.0,0.0,
"MyVoteSys <α=0.50, β=0.33, γ=0.80, MaxEntropy>",2.0,0.0,0.0,
"MyVoteSys <α=0.50, β=____, γ=0.66, Last>",2.0,0.0,0.0,
"MyVoteSys <α=0.80, β=____, γ=____, Last>",2.0,0.0,0.0,
"MyVoteSys <α=0.66, β=____, γ=____, MaxEntropy>",2.0,0.0,0.0,
"MyVoteSys <α=0.50, β=0.33, γ=0.66, First>",2.0,0.0,0.0,
"MyVoteSys <α=0.80, β=0.33, γ=____, MaxEntropy>",2.0,0.0,0.0,
"MyVoteSys <α=0.66, β=0.33, γ=____, MinVariance>",2.0,0.0,0.0,
"MyVoteSys <α=0.50, β=____, γ=0.80, MinEntropy>",2.0,0.0,0.0,
"MyVoteSys <α=0.50, β=____, γ=0.66, MaxEntropy>",2.0,0.0,0.0,
crowd-Mean,2.0,0.0,0.0,24548.30078125
"MyVoteSys <α=0.50, β=____, γ=0.66, MinVariance>",2.0,0.0,0.0,
"MyVoteSys <α=0.66, β=0.33, γ=0.80, First>",2.0,0.0,0.0,
"MyVoteSys <α=0.50, β=0.33, γ=____, MinEntropy>",2.0,0.0,0.0,
"MyVoteSys <α=0.50, β=0.33, γ=0.66, MaxVariance>",2.0,0.0,0.0,
"MyVoteSys <α=0.66, β=0.33, γ=0.80, MaxVariance>",2.0,0.0,0.0,
"MyVoteSys <α=0.80, β=0.33, γ=____, First>",2.0,0.0,0.0,
"MyVoteSys <α=0.80, β=____, γ=____, MinEntropy>",2.0,0.0,0.0,
InstantRunoffVoting,2.0,0.0,0.0,
"MyVoteSys <α=0.66, β=____, γ=0.80, MinVariance>",2.0,0.0,0.0,
"MyVoteSys <α=0.66, β=0.33, γ=____, First>",2.0,0.0,0.0,
"MyVoteSys <α=0.50, β=____, γ=____, First>",2.0,0.0,0.0,
"MyVoteSys <α=0.50, β=0.33, γ=0.66, MaxEntropy>",2.0,0.0,0.0,
"MyVoteSys <α=0.66, β=____, γ=____, Last>",2.0,0.0,0.0,
"MyVoteSys <α=0.80, β=____, γ=____, MaxEntropy>",2.0,0.0,0.0,
"MyVoteSys <α=0.50, β=____, γ=0.80, First>",2.0,0.0,0.0,
"MyVoteSys <α=0.80, β=0.33, γ=____, Last>",2.0,0.0,0.0,
"MyVoteSys <α=0.50, β=____, γ=0.80, MinVariance>",2.0,0.0,0.0,
SingleTransferableVote,2.0,0.0,0.0,
FirstPastThePost (but without tactical voting),2.0,0.0,0.0,
"MyVoteSys <α=0.50, β=0.33, γ=____, First>",2.0,0.0,0.0,
"MyVoteSys <α=0.80, β=0.33, γ=____, MinVariance>",2.0,0.0,0.0,
"MyVoteSys <α=0.50, β=0.33, γ=____, MinVariance>",2.0,0.0,0.0,
"MyVoteSys <α=0.66, β=0.33, γ=0.80, Last>",2.0,0.0,0.0,
"MyVoteSys <α=0.50, β=0.33, γ=____, MaxEntropy>",2.0,0.0,0.0,
"MyVoteSys <α=0.66, β=0.33, γ=0.80, MinEntropy>",2.0,0.0,0.0,
"MyVoteSys <α=0.50, β=0.33, γ=0.80, Last>",2.0,0.0,0.0,
"MyVoteSys <α=0.66, β=____, γ=____, First>",2.0,0.0,0.0,
"MyVoteSys <α=0.50, β=0.33, γ=0.80, MaxVariance>",2.0,0.0,0.0,
"MyVoteSys <α=0.80, β=____, γ=____, MinVariance>",2.0,0.0,0.0,
"MyVoteSys <α=0.66, β=0.33, γ=0.80, MinVariance>",2.0,0.0,0.0,
